"method","TPR3","FPR3","TPR4","FPR4"
"fast","99.81(0.89)","6.10(1.37)","100.00(0.00)","3.15(1.13)"
"fast_mag","4.13(3.70)","1.52(0.89)","41.25(9.71)","0.63(0.54)"
"fast_sha","98.97(2.03)","4.36(1.12)","100.00(0.00)","2.24(0.95)"
"fast_amp","6.41(4.62)","1.38(0.80)","54.56(11.76)","0.45(0.45)"
"semifast","99.49(1.49)","5.60(1.32)","99.94(0.44)","2.65(1.02)"
"outlgrm","39.43(11.40)","3.45(1.16)","93.54(5.21)","1.22(0.72)"
"msplot","100.00(0.00)","2.95(1.34)","99.95(0.39)","1.36(0.84)"
"tvd","100.00(0.00)","0.00(0.00)","2.77(3.77)","0.00(0.00)"
