"method","TPR7","FPR7","TPR8","FPR8"
"fast","79.73(14.95)","6.55(1.91)","98.63(2.45)","6.65(1.40)"
"fast_mag","1.65(2.36)","1.69(0.90)","30.65(8.10)","1.04(0.75)"
"fast_sha","4.21(3.68)","4.94(1.72)","71.77(7.58)","5.31(1.29)"
"fast_amp","79.10(15.42)","0.01(0.05)","10.74(5.69)","1.29(0.83)"
"semifast","67.31(17.06)","6.54(1.86)","98.11(2.69)","6.19(1.35)"
"outlgrm","15.40(14.65)","0.00(0.00)","82.99(7.39)","2.87(1.16)"
"msplot","66.39(16.04)","0.02(0.08)","99.98(0.26)","2.85(1.31)"
"tvd","40.88(12.82)","0.00(0.02)","99.42(1.51)","0.00(0.00)"
